Station Name,Station ID
SOUSSE BAB JEDID,231
SOUSSE MED V,232
SOUSSE SUD,233
SOUSSE ZONE INDUSTRIELLE,234
SAHLINE,235
SAHLINE SEBKHA,236
LES HOTELS,239
L'AEROPORT,237
LA FACULTE,240
MONASTIR,238
LA FACULTE 2,272
MONASTIR ZONE INDUSTRIELLE,241
FRINA,254
KHENISS BEMBLA,242
KSIBET MEDIOUNI BENANE,243
BOUHJAR,244
LAMTA,245
SAYADA,246
KSAR HELLAL ZONE INDUSTRIELLE,247
KSAR HELLAL,248
MOKNINE GRIBAA,249
MOKNINE,260
TEBOULBA ZONE  INDUSTRIELLE,270
TEBOULBA,261
BEKALTA,262
BAGHDADI,264
MAHDIA ZONE TOURISTIQUE,265
SIDI MESSOUD,271
BORJ EL ARIF,266
EZZAHRA,268
MAHDIA,267
