Station Name;Station ID
AIN MESRIA;364
AIN GHELAL;673
AIN RAHMA;173
AOUINET;475
BIR BOUREGBA;221
BIR MCHERGUA;317
BOUGOUBRINE;201
BEJA;633
BELLI;165
BEN BECHIR;643
BIR KASSAA;311
BIZERTE;711
BORJ ETTOUM;623
BOUARADA;333
BOUARKOUB;166
BOUFICHA;172
SIDI BOUROUIS;353
BOU SALEM;642
CHAAL;464
CHAOUAT;671
CHEYLUS;316
DAHMANI;363
DEPIENNE;321
DOKHANE;214
EL AGUILA;541
EL AKHOUAT;351
EL AROUSSA;335
EL FEJIJ;435
EL GUETAR;561
EL HAMADA;471
EL HERI;624
EL JEM;204
EL OUDIANE;552
ENFIDHA;174
FEJ TAMEUR;411
FONDOUK JEDID;161
FOUNI;491
FRIGUIA PARK;175
GABES;488
GAAFOUR;340
GAFSA;510
GARGOUR;462
GHANNOUCH;481
GHARDIMAOU;657
GOURAIA;371
GHRAIBA;465
GROMBALIA;163
HAMMAM LIF;154
HAMMAMET;222
JEBEL JELLOUD;130
JENDOUBA;645
JEDEIDA;614
JERISSA;414
KALAA KEBIRA;183
KALAA KHASBA;373
KALAA SGHIRA;191
KERKER;202
KHANGUET;162
LA HENCHA;212
LA PECHERIE;703
LE KEF;404
LE KRIB;352
LE KRIZ;551
LE SERS;355
LES SALINES;401
MANZEL BOUZAIAN;501
MANZEL DAR BELOUAER;181
MAHDIA;267
MAHRES;463
MAKNASSY;495
MANOUBA;612
MASTOUTA;635
MATEUR;674
MDHILLA;542
MEJEZ ELBAB;625
MENZEL GARE;177
METLAOUI;522
MEZZOUNA;493
MONASTIR;238
MOULARES;537
MREZKA;226
MSAKEN;251
NABEUL;224
NAASSEN;312
OMAR KHAYEM;223
OUDHNA;314
OUED MELIZ;652
OUED SARRAT;372
OUED ZARGA;627
PONT DU FAHS;323
REDEYEF;536
SAKIET EZZIT;215
SEGUI;564
SELJA;532
SENED;502
SFAX;450
SIDI ABID;461
SIDI AYED;336
SIDI BOU ALI;182
SIDI MHIMECH;631
SIDI MTIR;171
SIDI OTHMAN;672
SIDI SALAH;216
SIDI SMAIL;661
SKHIRA;472
SOUSSE;192
TABEDITT;535
TAJEROUINE;415
TEBOURBA;621
TINJA;692
TOZEUR;553
TRIKA;354
TUNIS;120
TURKI;164
ZANNOUCH;504
LES ZOUARINES;362
